randid,Month,Number of Readings,Total Days in Month,Percentage of Month (%)
C2S1,2018-08,31,31,100.0
C2S1,2018-09,30,30,100.0
C2S1,2018-10,31,31,100.0
C2S1,2018-11,30,30,100.0
C2S1,2018-12,31,31,100.0
C2S1,2019-01,31,31,100.0
C2S1,2019-02,28,28,100.0
C2S1,2019-03,31,31,100.0
C2S1,2019-04,1,30,3.33
C2S10,2018-10,7,31,22.58
C2S10,2018-11,30,30,100.0
C2S10,2018-12,31,31,100.0
C2S10,2019-01,31,31,100.0
C2S10,2019-02,28,28,100.0
C2S10,2019-03,27,31,87.1
C2S101,2018-08,31,31,100.0
C2S101,2018-09,30,30,100.0
C2S101,2018-10,31,31,100.0
C2S101,2018-11,30,30,100.0
C2S101,2018-12,31,31,100.0
C2S101,2019-01,31,31,100.0
C2S101,2019-02,28,28,100.0
C2S101,2019-03,31,31,100.0
C2S101,2019-04,1,30,3.33
C2S102,2019-03,9,31,29.03
C2S104,2018-08,31,31,100.0
C2S104,2018-09,30,30,100.0
C2S104,2018-10,31,31,100.0
C2S104,2018-11,30,30,100.0
C2S104,2018-12,31,31,100.0
C2S104,2019-01,31,31,100.0
C2S104,2019-02,28,28,100.0
C2S104,2019-03,31,31,100.0
C2S104,2019-04,1,30,3.33
C2S105,2019-03,9,31,29.03
C2S106,2018-08,31,31,100.0
C2S106,2018-09,30,30,100.0
C2S106,2018-10,31,31,100.0
C2S106,2018-11,30,30,100.0
C2S106,2018-12,31,31,100.0
C2S106,2019-01,31,31,100.0
C2S106,2019-02,28,28,100.0
C2S106,2019-03,31,31,100.0
C2S106,2019-04,1,30,3.33
C2S107,2018-08,31,31,100.0
C2S107,2018-09,30,30,100.0
C2S107,2018-10,31,31,100.0
C2S107,2018-11,30,30,100.0
C2S107,2018-12,31,31,100.0
C2S107,2019-01,31,31,100.0
C2S107,2019-02,28,28,100.0
C2S107,2019-03,31,31,100.0
C2S107,2019-04,1,30,3.33
C2S108,2018-08,31,31,100.0
C2S108,2018-09,30,30,100.0
C2S108,2018-10,31,31,100.0
C2S108,2018-11,30,30,100.0
C2S108,2018-12,31,31,100.0
C2S108,2019-01,31,31,100.0
C2S108,2019-02,28,28,100.0
C2S108,2019-03,31,31,100.0
C2S108,2019-04,1,30,3.33
C2S109,2018-08,31,31,100.0
C2S109,2018-09,30,30,100.0
C2S109,2018-10,31,31,100.0
C2S109,2018-11,30,30,100.0
C2S109,2018-12,31,31,100.0
C2S109,2019-01,31,31,100.0
C2S109,2019-02,28,28,100.0
C2S109,2019-03,31,31,100.0
C2S109,2019-04,1,30,3.33
C2S11,2018-08,31,31,100.0
C2S11,2018-09,30,30,100.0
C2S11,2018-10,31,31,100.0
C2S11,2018-11,30,30,100.0
C2S11,2018-12,31,31,100.0
C2S11,2019-01,31,31,100.0
C2S11,2019-02,28,28,100.0
C2S11,2019-03,31,31,100.0
C2S11,2019-04,1,30,3.33
C2S110,2019-03,9,31,29.03
C2S111,2019-03,9,31,29.03
C2S112,2018-08,31,31,100.0
C2S112,2018-09,30,30,100.0
C2S112,2018-10,31,31,100.0
C2S112,2018-11,30,30,100.0
C2S112,2018-12,31,31,100.0
C2S112,2019-01,31,31,100.0
C2S112,2019-02,28,28,100.0
C2S112,2019-03,31,31,100.0
C2S112,2019-04,1,30,3.33
C2S113,2018-08,31,31,100.0
C2S113,2018-09,30,30,100.0
C2S113,2018-10,31,31,100.0
C2S113,2018-11,30,30,100.0
C2S113,2018-12,31,31,100.0
C2S113,2019-01,31,31,100.0
C2S113,2019-02,28,28,100.0
C2S113,2019-03,31,31,100.0
C2S113,2019-04,1,30,3.33
C2S114,2018-08,31,31,100.0
C2S114,2018-09,30,30,100.0
C2S114,2018-10,31,31,100.0
C2S114,2018-11,30,30,100.0
C2S114,2018-12,31,31,100.0
C2S114,2019-01,31,31,100.0
C2S114,2019-02,28,28,100.0
C2S114,2019-03,31,31,100.0
C2S114,2019-04,1,30,3.33
C2S115,2018-08,31,31,100.0
C2S115,2018-09,30,30,100.0
C2S115,2018-10,31,31,100.0
C2S115,2018-11,30,30,100.0
C2S115,2018-12,31,31,100.0
C2S115,2019-01,31,31,100.0
C2S115,2019-02,28,28,100.0
C2S115,2019-03,31,31,100.0
C2S115,2019-04,1,30,3.33
C2S116,2018-09,30,30,100.0
C2S116,2018-10,31,31,100.0
C2S116,2018-11,30,30,100.0
C2S116,2018-12,31,31,100.0
C2S116,2019-01,31,31,100.0
C2S116,2019-02,28,28,100.0
C2S116,2019-03,31,31,100.0
C2S116,2019-04,1,30,3.33
C2S117,2018-09,30,30,100.0
C2S117,2018-10,31,31,100.0
C2S117,2018-11,30,30,100.0
C2S117,2018-12,31,31,100.0
C2S117,2019-01,31,31,100.0
C2S117,2019-02,28,28,100.0
C2S117,2019-03,31,31,100.0
C2S117,2019-04,1,30,3.33
C2S118,2018-09,30,30,100.0
C2S118,2018-10,31,31,100.0
C2S118,2018-11,30,30,100.0
C2S118,2018-12,31,31,100.0
C2S118,2019-01,31,31,100.0
C2S118,2019-02,28,28,100.0
C2S118,2019-03,31,31,100.0
C2S118,2019-04,1,30,3.33
C2S119,2018-09,30,30,100.0
C2S119,2018-10,31,31,100.0
C2S119,2018-11,30,30,100.0
C2S119,2018-12,31,31,100.0
C2S119,2019-01,31,31,100.0
C2S119,2019-02,28,28,100.0
C2S119,2019-03,31,31,100.0
C2S119,2019-04,1,30,3.33
C2S12,2018-08,31,31,100.0
C2S12,2018-09,30,30,100.0
C2S12,2018-10,31,31,100.0
C2S12,2018-11,30,30,100.0
C2S12,2018-12,31,31,100.0
C2S12,2019-01,31,31,100.0
C2S12,2019-02,28,28,100.0
C2S12,2019-03,31,31,100.0
C2S12,2019-04,1,30,3.33
C2S120,2018-09,30,30,100.0
C2S120,2018-10,31,31,100.0
C2S120,2018-11,30,30,100.0
C2S120,2018-12,31,31,100.0
C2S120,2019-01,31,31,100.0
C2S120,2019-02,28,28,100.0
C2S120,2019-03,31,31,100.0
C2S120,2019-04,1,30,3.33
C2S121,2018-09,30,30,100.0
C2S121,2018-10,31,31,100.0
C2S121,2018-11,30,30,100.0
C2S121,2018-12,31,31,100.0
C2S121,2019-01,31,31,100.0
C2S121,2019-02,28,28,100.0
C2S121,2019-03,31,31,100.0
C2S121,2019-04,1,30,3.33
C2S122,2018-09,30,30,100.0
C2S122,2018-10,31,31,100.0
C2S122,2018-11,30,30,100.0
C2S122,2018-12,31,31,100.0
C2S122,2019-01,31,31,100.0
C2S122,2019-02,28,28,100.0
C2S122,2019-03,31,31,100.0
C2S122,2019-04,1,30,3.33
C2S123,2018-09,30,30,100.0
C2S123,2018-10,31,31,100.0
C2S123,2018-11,30,30,100.0
C2S123,2018-12,31,31,100.0
C2S123,2019-01,31,31,100.0
C2S123,2019-02,28,28,100.0
C2S123,2019-03,31,31,100.0
C2S123,2019-04,1,30,3.33
C2S124,2018-09,30,30,100.0
C2S124,2018-10,31,31,100.0
C2S124,2018-11,30,30,100.0
C2S124,2018-12,31,31,100.0
C2S124,2019-01,31,31,100.0
C2S124,2019-02,28,28,100.0
C2S124,2019-03,31,31,100.0
C2S124,2019-04,1,30,3.33
C2S125,2019-03,9,31,29.03
C2S126,2018-09,30,30,100.0
C2S126,2018-10,31,31,100.0
C2S126,2018-11,30,30,100.0
C2S126,2018-12,31,31,100.0
C2S126,2019-01,31,31,100.0
C2S126,2019-02,28,28,100.0
C2S126,2019-03,31,31,100.0
C2S126,2019-04,1,30,3.33
C2S127,2018-08,31,31,100.0
C2S127,2018-09,30,30,100.0
C2S127,2018-10,31,31,100.0
C2S127,2018-11,30,30,100.0
C2S127,2018-12,31,31,100.0
C2S127,2019-01,31,31,100.0
C2S127,2019-02,28,28,100.0
C2S127,2019-03,31,31,100.0
C2S127,2019-04,1,30,3.33
C2S128,2018-08,31,31,100.0
C2S128,2018-09,30,30,100.0
C2S128,2018-10,31,31,100.0
C2S128,2018-11,30,30,100.0
C2S128,2018-12,31,31,100.0
C2S128,2019-01,31,31,100.0
C2S128,2019-02,28,28,100.0
C2S128,2019-03,31,31,100.0
C2S128,2019-04,1,30,3.33
C2S129,2018-08,31,31,100.0
C2S129,2018-09,30,30,100.0
C2S129,2018-10,31,31,100.0
C2S129,2018-11,30,30,100.0
C2S129,2018-12,31,31,100.0
C2S129,2019-01,31,31,100.0
C2S129,2019-02,28,28,100.0
C2S129,2019-03,31,31,100.0
C2S129,2019-04,1,30,3.33
C2S13,2018-08,31,31,100.0
C2S13,2018-09,30,30,100.0
C2S13,2018-10,31,31,100.0
C2S13,2018-11,30,30,100.0
C2S13,2018-12,31,31,100.0
C2S13,2019-01,31,31,100.0
C2S13,2019-02,28,28,100.0
C2S13,2019-03,31,31,100.0
C2S13,2019-04,1,30,3.33
C2S130,2018-08,31,31,100.0
C2S130,2018-09,30,30,100.0
C2S130,2018-10,31,31,100.0
C2S130,2018-11,30,30,100.0
C2S130,2018-12,31,31,100.0
C2S130,2019-01,31,31,100.0
C2S130,2019-02,28,28,100.0
C2S130,2019-03,31,31,100.0
C2S130,2019-04,1,30,3.33
C2S131,2018-08,31,31,100.0
C2S131,2018-09,30,30,100.0
C2S131,2018-10,31,31,100.0
C2S131,2018-11,30,30,100.0
C2S131,2018-12,31,31,100.0
C2S131,2019-01,31,31,100.0
C2S131,2019-02,28,28,100.0
C2S131,2019-03,31,31,100.0
C2S131,2019-04,1,30,3.33
C2S132,2019-03,9,31,29.03
C2S133,2018-09,30,30,100.0
C2S133,2018-10,31,31,100.0
C2S133,2018-11,30,30,100.0
C2S133,2018-12,31,31,100.0
C2S133,2019-01,31,31,100.0
C2S133,2019-02,28,28,100.0
C2S133,2019-03,31,31,100.0
C2S133,2019-04,1,30,3.33
C2S134,2019-03,9,31,29.03
C2S135,2018-08,31,31,100.0
C2S135,2018-09,30,30,100.0
C2S135,2018-10,31,31,100.0
C2S135,2018-11,30,30,100.0
C2S135,2018-12,31,31,100.0
C2S135,2019-01,31,31,100.0
C2S135,2019-02,28,28,100.0
C2S135,2019-03,31,31,100.0
C2S135,2019-04,1,30,3.33
C2S136,2019-03,9,31,29.03
C2S137,2018-08,31,31,100.0
C2S137,2018-09,30,30,100.0
C2S137,2018-10,31,31,100.0
C2S137,2018-11,30,30,100.0
C2S137,2018-12,31,31,100.0
C2S137,2019-01,31,31,100.0
C2S137,2019-02,28,28,100.0
C2S137,2019-03,31,31,100.0
C2S137,2019-04,1,30,3.33
C2S138,2018-08,31,31,100.0
C2S138,2018-09,30,30,100.0
C2S138,2018-10,31,31,100.0
C2S138,2018-11,30,30,100.0
C2S138,2018-12,31,31,100.0
C2S138,2019-01,31,31,100.0
C2S138,2019-02,28,28,100.0
C2S138,2019-03,31,31,100.0
C2S138,2019-04,1,30,3.33
C2S14,2018-08,31,31,100.0
C2S14,2018-09,30,30,100.0
C2S14,2018-10,31,31,100.0
C2S14,2018-11,30,30,100.0
C2S14,2018-12,31,31,100.0
C2S14,2019-01,31,31,100.0
C2S14,2019-02,28,28,100.0
C2S14,2019-03,31,31,100.0
C2S14,2019-04,1,30,3.33
C2S140,2019-03,9,31,29.03
C2S141,2018-08,31,31,100.0
C2S141,2018-09,30,30,100.0
C2S141,2018-10,31,31,100.0
C2S141,2018-11,30,30,100.0
C2S141,2018-12,31,31,100.0
C2S141,2019-01,31,31,100.0
C2S141,2019-02,28,28,100.0
C2S141,2019-03,31,31,100.0
C2S141,2019-04,1,30,3.33
C2S142,2019-03,9,31,29.03
C2S143,2018-08,31,31,100.0
C2S143,2018-09,30,30,100.0
C2S143,2018-10,31,31,100.0
C2S143,2018-11,30,30,100.0
C2S143,2018-12,31,31,100.0
C2S143,2019-01,31,31,100.0
C2S143,2019-02,28,28,100.0
C2S143,2019-03,31,31,100.0
C2S143,2019-04,1,30,3.33
C2S144,2018-08,31,31,100.0
C2S144,2018-09,30,30,100.0
C2S144,2018-10,31,31,100.0
C2S144,2018-11,30,30,100.0
C2S144,2018-12,31,31,100.0
C2S144,2019-01,31,31,100.0
C2S144,2019-02,28,28,100.0
C2S144,2019-03,31,31,100.0
C2S144,2019-04,1,30,3.33
C2S145,2018-08,31,31,100.0
C2S145,2018-09,30,30,100.0
C2S145,2018-10,31,31,100.0
C2S145,2018-11,30,30,100.0
C2S145,2018-12,31,31,100.0
C2S145,2019-01,31,31,100.0
C2S145,2019-02,28,28,100.0
C2S145,2019-03,31,31,100.0
C2S145,2019-04,1,30,3.33
C2S146,2018-08,31,31,100.0
C2S146,2018-09,30,30,100.0
C2S146,2018-10,31,31,100.0
C2S146,2018-11,30,30,100.0
C2S146,2018-12,31,31,100.0
C2S146,2019-01,31,31,100.0
C2S146,2019-02,28,28,100.0
C2S146,2019-03,31,31,100.0
C2S146,2019-04,1,30,3.33
C2S147,2018-08,31,31,100.0
C2S147,2018-09,30,30,100.0
C2S147,2018-10,31,31,100.0
C2S147,2018-11,30,30,100.0
C2S147,2018-12,31,31,100.0
C2S147,2019-01,31,31,100.0
C2S147,2019-02,28,28,100.0
C2S147,2019-03,31,31,100.0
C2S147,2019-04,1,30,3.33
C2S148,2018-08,31,31,100.0
C2S148,2018-09,30,30,100.0
C2S148,2018-10,31,31,100.0
C2S148,2018-11,30,30,100.0
C2S148,2018-12,31,31,100.0
C2S148,2019-01,31,31,100.0
C2S148,2019-02,28,28,100.0
C2S148,2019-03,31,31,100.0
C2S148,2019-04,1,30,3.33
C2S149,2018-08,31,31,100.0
C2S149,2018-09,30,30,100.0
C2S149,2018-10,31,31,100.0
C2S149,2018-11,30,30,100.0
C2S149,2018-12,31,31,100.0
C2S149,2019-01,31,31,100.0
C2S149,2019-02,28,28,100.0
C2S149,2019-03,31,31,100.0
C2S149,2019-04,1,30,3.33
C2S15,2018-08,31,31,100.0
C2S15,2018-09,30,30,100.0
C2S15,2018-10,31,31,100.0
C2S15,2018-11,30,30,100.0
C2S15,2018-12,31,31,100.0
C2S15,2019-01,31,31,100.0
C2S15,2019-02,28,28,100.0
C2S15,2019-03,31,31,100.0
C2S15,2019-04,1,30,3.33
C2S150,2018-08,31,31,100.0
C2S150,2018-09,30,30,100.0
C2S150,2018-10,31,31,100.0
C2S150,2018-11,30,30,100.0
C2S150,2018-12,31,31,100.0
C2S150,2019-01,31,31,100.0
C2S150,2019-02,28,28,100.0
C2S150,2019-03,31,31,100.0
C2S150,2019-04,1,30,3.33
C2S151,2018-08,31,31,100.0
C2S151,2018-09,30,30,100.0
C2S151,2018-10,31,31,100.0
C2S151,2018-11,30,30,100.0
C2S151,2018-12,31,31,100.0
C2S151,2019-01,31,31,100.0
C2S151,2019-02,28,28,100.0
C2S151,2019-03,31,31,100.0
C2S151,2019-04,1,30,3.33
C2S152,2018-08,31,31,100.0
C2S152,2018-09,30,30,100.0
C2S152,2018-10,31,31,100.0
C2S152,2018-11,30,30,100.0
C2S152,2018-12,31,31,100.0
C2S152,2019-01,31,31,100.0
C2S152,2019-02,28,28,100.0
C2S152,2019-03,31,31,100.0
C2S152,2019-04,1,30,3.33
C2S153,2018-08,31,31,100.0
C2S153,2018-09,30,30,100.0
C2S153,2018-10,31,31,100.0
C2S153,2018-11,30,30,100.0
C2S153,2018-12,31,31,100.0
