randid,start_date,duration,event_observed,NOAAClimRegion,TempZone,HumidZone,bin_PlantSize_kW,plant_age_months,active_snow_tickets,snow_bin_ticket_minutes,snow_affected_assets,snow_production_level,snow_value_mm,total_daily_snow_mm,low_irradiation,cumulative_snow_mm,hurr_bin_ticket_minutes,hurr_affected_assets,hurr_production_level,HurricanePrep,HurricanePostInspection,hurricane,nearest_hurricane,wind_speed_mean,rain_value_mm,nearest_rain,storm_active_tickets,storm_bin_ticket_minutes,storm_affected_assets,storm_production_level,lightning,storm,duration_minutes_storm,nearest_storm,flood,duration_minutes_flood,nearest_flood,rain,weather_onset
C2S1,2018-10-13,1,1,West,T6,H4,large,25.0,No,,,Unknown,0.0,0.0,0,0.0,,,Unknown,No,No,0.0,354,2.67779166666667,0.017804904367364,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2018-11-22,3,1,West,T6,H4,large,27.0,No,,,Unknown,0.0,0.0,0,0.0,,,Unknown,No,No,0.0,354,4.93052083333333,1.13632968989597,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2018-11-29,3,1,West,T6,H4,large,27.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,5.71560416666667,8.01546394538171,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2018-11-30,2,1,West,T6,H4,large,27.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,7.6846875,0.23905913470753,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2018-12-05,2,1,West,T6,H4,large,27.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.67260416666667,0.396305664466594,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2018-12-06,1,1,West,T6,H4,large,27.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.237375,12.7772880502859,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-01-12,6,1,West,T6,H4,large,28.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.913125,2.96531312763579,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-01-13,5,1,West,T6,H4,large,28.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.73427083333333,3.63322184617498,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-01-14,4,1,West,T6,H4,large,28.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.20139583333333,0.0383490234829924,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-01-15,3,1,West,T6,H4,large,28.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.14485416666667,19.257176186001,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-01-16,2,1,West,T6,H4,large,28.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.93841666666667,5.18564237223536,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-01-17,1,1,West,T6,H4,large,28.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,4.48370833333333,9.45348454967507,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-02-01,6,1,West,T6,H4,large,29.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,1.06041666666667,13.409354560846,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-02-02,5,1,West,T6,H4,large,29.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,3.573125,6.78446831021775,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-02-03,4,1,West,T6,H4,large,29.0,No,,,Unknown,0.0,0.0,1,0.0,,,Unknown,No,No,0.0,354,5.73039583333333,32.1538541241571,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
C2S1,2019-02-04,3,1,West,T6,H4,large,29.0,No,,,Unknown,0.0,0.0,0,0.0,,,Unknown,No,No,0.0,354,6.91416666666667,3.67019438525105,0,No,,,Unknown,0,0.0,0,2420,0.0,0,2255,1.0,1
